category,index,url_name,name,gformat,due,start,module_id,course_id,path,data,chapter_mid,graded,visible_to_staff_only,parent,is_split,split_url_name
course,1,course,Introduction to Computer Science and Programming Using Python,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/course/course,MITx/6.00.1x/2T2021,/,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""true"",
    ""has_image"": ""false""
  }
}",null,false,null,null,false,null
poll,13,bcc54700880548578795162b86398791,Download Python,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/poll/bcc54700880548578795162b86398791,MITx/6.00.1x/2T2021,/c77f2cc9fb2a42589f0d723e8fefbd35/a073ff660d7747eea52200aa737feb57/5648b3bb117f42109f9a4d1f00ce6b42/bcc54700880548578795162b86398791,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/c77f2cc9fb2a42589f0d723e8fefbd35,false,null,5648b3bb117f42109f9a4d1f00ce6b42,false,null
poll,14,389560b2539b466e88208efe64d3a2da,Download Python,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/poll/389560b2539b466e88208efe64d3a2da,MITx/6.00.1x/2T2021,/c77f2cc9fb2a42589f0d723e8fefbd35/a073ff660d7747eea52200aa737feb57/5648b3bb117f42109f9a4d1f00ce6b42/389560b2539b466e88208efe64d3a2da,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/c77f2cc9fb2a42589f0d723e8fefbd35,false,null,5648b3bb117f42109f9a4d1f00ce6b42,false,null
recommender,26,22cee568d29d4980957e89ad44801e7c,Resources to Help you Succeed,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/recommender/22cee568d29d4980957e89ad44801e7c,MITx/6.00.1x/2T2021,/c77f2cc9fb2a42589f0d723e8fefbd35/c58684c1812443db80c4b0028aba9bc3/3710bb4774064f7a8f37e9d5b56cae4d/22cee568d29d4980957e89ad44801e7c,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/c77f2cc9fb2a42589f0d723e8fefbd35,false,null,3710bb4774064f7a8f37e9d5b56cae4d,false,null
openassessment,306,a0eedc671f704ad9b1cd24b4259822ef,Peer Assessment,null,null,2021-06-09T14:00:00Z,MITx/6.00.1x/2T2021/openassessment/a0eedc671f704ad9b1cd24b4259822ef,MITx/6.00.1x/2T2021,/0de4fecc5a9a4749923133fcf4de181f/344d02eadf134621a1f17f473ef14514/6592618ceb3d4e5fa6545e262ba6feef/a0eedc671f704ad9b1cd24b4259822ef,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/0de4fecc5a9a4749923133fcf4de181f,false,null,6592618ceb3d4e5fa6545e262ba6feef,false,null
html,5,0ac929171a8047c8af116dab4a5a65e9,Using the edX Platform,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/html/0ac929171a8047c8af116dab4a5a65e9,MITx/6.00.1x/2T2021,/47d859de1f9e45c5a7587d0009057aa9/01028329c5cb402bbc5931c681c9dc6d/0e1f35f543cf445086f9a56b53baf574/0ac929171a8047c8af116dab4a5a65e9,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/47d859de1f9e45c5a7587d0009057aa9,false,null,0e1f35f543cf445086f9a56b53baf574,false,null
html,9,29fb87fb0283405eb9abdb406abd6bb5,Entrance Survey,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/html/29fb87fb0283405eb9abdb406abd6bb5,MITx/6.00.1x/2T2021,/585765eb28824772b3220f3e15064eb5/40aeca2bf2cc41ffb189bb8c96d999c6/be62fc6286a14e088175256ce5a823e9/29fb87fb0283405eb9abdb406abd6bb5,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/585765eb28824772b3220f3e15064eb5,false,null,be62fc6286a14e088175256ce5a823e9,false,null
html,15,49af7f0015f84adfab4c530f4a905416,Getting Started With Python,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/html/49af7f0015f84adfab4c530f4a905416,MITx/6.00.1x/2T2021,/c77f2cc9fb2a42589f0d723e8fefbd35/a073ff660d7747eea52200aa737feb57/5648b3bb117f42109f9a4d1f00ce6b42/49af7f0015f84adfab4c530f4a905416,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/c77f2cc9fb2a42589f0d723e8fefbd35,false,null,5648b3bb117f42109f9a4d1f00ce6b42,false,null
html,19,e95928b4e79748beaa43319c62eed2ec,What do you want to learn?,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/html/e95928b4e79748beaa43319c62eed2ec,MITx/6.00.1x/2T2021,/c77f2cc9fb2a42589f0d723e8fefbd35/8a02d0c304a941949f1ede46d0b45d16/c16fd9ec6a92475ebf12d14b39ccb4f2/e95928b4e79748beaa43319c62eed2ec,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/c77f2cc9fb2a42589f0d723e8fefbd35,false,null,c16fd9ec6a92475ebf12d14b39ccb4f2,false,null
html,21,e819674d71174ae1a9750faba7810018,Our Course Philosophy,null,null,2021-06-02T15:00:00Z,MITx/6.00.1x/2T2021/html/e819674d71174ae1a9750faba7810018,MITx/6.00.1x/2T2021,/c77f2cc9fb2a42589f0d723e8fefbd35/8a02d0c304a941949f1ede46d0b45d16/c16fd9ec6a92475ebf12d14b39ccb4f2/e819674d71174ae1a9750faba7810018,"{
  ""data"": {
    ""ytid"": ""null"",
    ""weight"": ""null"",
    ""group_id_to_child"": ""null"",
    ""user_partition_id"": ""null"",
    ""itype"": ""null"",
    ""num_items"": ""null"",
    ""has_solution"": ""false"",
    ""has_image"": ""false""
  }
}",MITx/6.00.1x/2T2021/chapter/c77f2cc9fb2a42589f0d723e8fefbd35,false,null,c16fd9ec6a92475ebf12d14b39ccb4f2,false,null
